City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,verkhnetulomskiy,68.6073,31.7962,-2.93,91,100,2.44,RU,1674610518
1,pozo colorado,-23.4923,-58.7972,28.5,58,7,3.07,PY,1674610518
2,broken hill,-31.95,141.4333,33.04,19,0,3.06,AU,1674610519
3,kargasok,59.0556,80.8572,-29.68,98,76,2.68,RU,1674610519
4,bluff,-46.6,168.3333,15.61,67,15,4.1,NZ,1674610520
5,asau,46.4333,26.4,-2.49,86,92,1.57,RO,1674610520
6,kushiro,42.975,144.3747,-11.47,79,75,1.54,JP,1674610521
7,kapaa,22.0752,-159.319,26.99,86,75,3.6,US,1674610521
8,ushuaia,-54.8,-68.3,7.81,61,20,1.03,AR,1674610522
9,hobart,-42.8794,147.3294,25.92,64,40,3.6,AU,1674610259
10,muros,42.7762,-9.0603,10.61,72,12,6.11,ES,1674610522
11,punta arenas,-53.15,-70.9167,9.06,61,75,5.66,CL,1674610359
12,sao filipe,14.8961,-24.4956,21.12,68,100,1.13,CV,1674610523
13,olafsvik,64.8945,-23.7142,0.09,87,98,14.38,IS,1674609967
14,barrow,71.2906,-156.7887,-22.99,77,0,9.26,US,1674610524
15,nizwa,22.9333,57.5333,13.66,74,0,0.75,OM,1674610524
16,niono,14.2526,-5.993,25.13,16,53,4.16,ML,1674610525
17,gavle,60.6745,17.1417,5.51,97,100,1.34,SE,1674610525
18,victoria,22.2855,114.1577,12.92,56,70,5.81,HK,1674610526
19,saryg-sep,51.5,95.6,-25.1,98,100,1.05,RU,1674610526
20,nanortalik,60.1432,-45.2371,0.07,86,100,16.34,GL,1674610527
21,hofn,64.2539,-15.2082,4.27,63,100,4.39,IS,1674610527
22,hermanus,-34.4187,19.2345,15.7,60,8,2.53,ZA,1674610528
23,rikitea,-23.1203,-134.9692,26.3,76,9,7.11,PF,1674610528
24,sur,22.5667,59.5289,18.18,47,6,3.72,OM,1674610529
25,lebu,-37.6167,-73.65,14.14,74,0,7.25,CL,1674610529
26,atuona,-9.8,-139.0333,25.86,78,6,6.95,PF,1674610472
27,nikolskoye,59.7035,30.7861,-0.06,95,100,3.57,RU,1674610530
28,gallup,35.5281,-108.7426,-2.09,64,0,5.14,US,1674610530
29,saint-philippe,-21.3585,55.7679,22.77,91,100,5.35,RE,1674610531
30,codrington,-38.2667,141.9667,23.11,46,26,6.2,AU,1674610531
31,mount isa,-20.7333,139.5,32.87,46,98,5.14,AU,1674610532
32,mangaldai,26.4333,92.0333,16.72,55,61,2.14,IN,1674610532
33,naron,43.5167,-8.1528,10.33,78,100,5.75,ES,1674610533
34,kilindoni,-7.9139,39.6668,27.16,81,100,8.13,TZ,1674610533
